id,coords
76,46.533232:24.565432 46.533611:24.565204
77,46.533611:24.565204 46.533626:24.565195 46.533662:24.565173 46.533733:24.565126
78,46.533733:24.565126 46.533760:24.565109
79,46.533760:24.565109 46.533968:24.565023
80,46.533968:24.565023 46.534389:24.564850 46.534557:24.564799 46.534834:24.564745 46.534872:24.564737
81,46.534872:24.564737 46.535373:24.564637 46.535409:24.564630 46.535476:24.564616
82,46.535137:24.567262 46.535156:24.567258 46.535177:24.567255 46.535654:24.567174 46.535669:24.567171 46.535684:24.567164
83,46.534465:24.567326 46.534439:24.567256 46.534422:24.567200 46.534157:24.566812 46.534127:24.566782 46.534089:24.566751
84,46.534089:24.566751 46.534042:24.566782 46.533999:24.566846 46.533977:24.567003 46.533974:24.567180 46.533978:24.567536 46.533978:24.567979 46.533978:24.568039 46.533972:24.568451 46.533968:24.568791 46.533967:24.569003 46.533965:24.569440 46.533966:24.569640 46.533965:24.569673 46.533945:24.569810 46.533889:24.569937 46.533831:24.570052 46.533720:24.570158
85,46.533720:24.570158 46.533656:24.570233 46.533596:24.570263
86,46.535043:24.570362 46.535392:24.570359 46.535420:24.570358
87,46.537859:24.573649 46.537866:24.573880 46.537831:24.573999 46.537773:24.574087 46.537696:24.574109 46.537430:24.574187 46.537375:24.574188
88,46.537375:24.574188 46.537335:24.574175 46.537301:24.574168
89,46.535903:24.584173 46.535853:24.584277 46.535716:24.584576
90,46.535716:24.584576 46.535489:24.585104
91,46.535489:24.585104 46.535198:24.585780
92,46.535198:24.585780 46.534979:24.586278
93,46.534979:24.586278 46.534927:24.586396 46.534852:24.586567 46.534698:24.586906
94,46.534698:24.586906 46.534604:24.587128
95,46.534604:24.587128 46.534174:24.588078
96,46.534174:24.588078 46.534062:24.588342
97,46.534062:24.588342 46.533705:24.589193
98,46.533705:24.589193 46.533637:24.589356 46.533579:24.589506 46.533540:24.589611
99,46.534604:24.587128 46.534642:24.587159 46.534661:24.587176 46.534729:24.587239 46.534864:24.587364
100,46.534864:24.587364 46.534933:24.587427 46.534945:24.587438 46.535296:24.587762 46.535471:24.587917
101,46.535471:24.587917 46.535592:24.588038 46.535751:24.588189
102,46.535751:24.588189 46.535779:24.588217
103,46.540186:24.566749 46.540714:24.566657 46.540839:24.566633 46.541013:24.566577
104,46.541013:24.566577 46.541049:24.566575 46.541335:24.566526 46.541508:24.566444
105,46.541256:24.566259 46.541015:24.566382 46.540995:24.566392
106,46.540995:24.566392 46.540767:24.566502 46.540490:24.566630 46.540186:24.566749
107,46.545681:24.567115 46.545831:24.566927 46.545948:24.566655 46.545955:24.566639 46.546025:24.566433
108,46.544840:24.566887 46.544996:24.566996
