id,u,v,length_m,speed_kph,oneway,name
133,934,931,101.32,60,1,Strada Posada
134,933,935,78.85,50,1,Piața Avram Iancu
135,934,39477,17.52,60,1,Piața Ștefan cel Mare
136,1891,36743,570.82,60,1,Bulevardul Basarabia
137,926,29755,696.57,50,0,
138,12232,32064,20.64,50,1,Calea Turzii
139,908,959,23.95,60,1,
140,973,11140,24.55,50,0,Șoseaua Brăilei
141,8490,15189,36.33,50,1,Bulevardul Aviatorilor
142,32307,4399,116.42,50,0,Calea Griviței
143,2112,13684,456.19,60,1,Bulevardul Bucureștii Noi
144,100,192,66.07,50,1,Bulevardul Carol I
145,32496,32658,27.21,50,0,Calea Buziașului
146,18481,7002,6.07,50,0,Calea Circumvalațiunii
147,2071,2070,147.79,50,0,
148,29306,1711,60.50,50,1,Bulevardul Constantin Prezan
149,2210,41650,7.42,50,1,Bulevardul Mareșal Alexandru Averescu
150,41650,35121,30.51,50,1,Bulevardul Mareșal Alexandru Averescu
151,4397,37196,731.44,50,1,Strada Turda
152,14504,1677,732.54,50,1,Strada Turda
153,7847,18906,568.94,60,1,Șoseaua Cotroceni
154,48201,36275,53.31,50,1,Bulevardul Aviatorilor
155,2817,11867,293.52,50,1,Bulevardul Mihai Viteazul
156,23494,10102,68.17,50,1,Strada Târgul Fânului
157,16879,48764,56.90,50,0,Strada Râului
158,559,11922,154.41,50,0,Strada Lungă
159,610,3617,37.42,50,0,Strada Stihii
160,8,23888,29.94,50,1,Piața Operei
161,36902,2176,38.62,50,1,Centura Arad Nord
162,30425,36903,536.34,90,0,
163,47722,10536,528.61,50,0,Strada Principala
164,19077,12636,90.75,50,0,
165,17133,870,2559.93,50,0,
166,13958,871,1086.58,50,0,
167,39303,39304,3605.44,90,0,
168,39304,49026,2824.36,50,0,Strada 1 Decembrie 1918
169,875,876,588.93,100,0,
170,1427,19769,91.74,40,0,
171,1004,1005,28.50,100,0,
172,28599,13811,171.66,100,0,
173,28495,39780,50.07,30,1,
174,1011,1012,209.00,50,1,
175,21038,2834,733.15,60,1,Bulevardul Dimitrie Cantemir
176,31381,1095,270.79,50,1,Strada Napoca
177,935,11530,148.95,50,1,Calea Dorobanților
178,38591,958,63.19,60,1,Calea Turzii
179,1215,1219,14.55,50,0,Bulevardul George Coșbuc
180,1182,1179,70.08,40,1,Aviator Maria Brăescu
181,1188,1189,27.08,40,1,Piața Energiei
182,40871,8159,2.58,40,1,Strada Brăilei
183,8159,1193,57.62,40,1,Strada Brăilei
184,36890,5340,35.65,90,1,Bulevardul Galați
185,1791,10942,48.72,50,1,Bulevardul Dunărea
186,44539,1272,493.81,50,1,Bulevardul Siderurgiștilor
187,1186,1202,432.63,50,1,Bulevardul Siderurgiștilor
188,36877,1486,52.03,50,1,Strada Brăilei
189,1192,1213,43.99,40,1,Bulevardul Brăilei
190,43618,43619,148.77,50,1,Strada Brăilei
191,1528,8314,380.02,50,1,Strada Brăilei
192,1216,1472,7.12,50,0,Strada Brăilei
193,1188,1229,38.31,40,1,Strada Basarabiei
194,1229,1189,37.34,40,1,Strada Basarabiei
195,1229,1204,294.39,50,0,Strada Basarabiei
196,1239,1193,88.69,40,1,Strada Cloșca
197,1239,1241,12.68,50,0,Strada Cloșca
198,1241,1242,725.31,50,0,Strada Cloșca
199,1240,1241,90.87,50,1,
200,1170,25252,63.11,40,1,
201,1261,1170,69.29,40,1,
202,1165,1262,84.81,40,1,
203,25251,1263,67.39,40,1,
